distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.05603044276932201,0.003486618723224064,0.093245,0.0005757820768311561,0.047049865575396546,0.0016499249751308715,0.05423728813559322,0.0944,0.04757076812768125,0.058138280660122964,0.09271,0.04707736854511334,0.06222461042450295,0.09305,0.04387096331467486,0.05132591958939264,0.09352,0.047200021911528584,0.054629035706649565,0.09354,0.046064574107159896,0.051956451439042796,0.09277,0.0502339919912951,0.059243243243243246,0.0925,0.047528903705503174,0.05648871295602867,0.09347,0.046852332900216204
5,0.06410014137164659,0.0032357485151833587,0.07932249999999999,0.0006977239783754018,0.03779109746227389,0.0014849584936085047,0.06375589183825353,0.08062,0.038589762843991196,0.06362951807228916,0.07968,0.03858867705948574,0.06872157655381506,0.07916,0.03628781166379289,0.060655737704918035,0.0793,0.03802360863332125,0.06207759699624531,0.0799,0.03724103286102012,0.06197505726648002,0.07858,0.040822868515477936,0.07014181678804139,0.07827,0.03583138093142917,0.06184393575313014,0.07907,0.036943637189672814
10,0.07008450311886504,0.0038560718609994306,0.06634000000000001,0.0003580502757993618,0.030154500669147287,0.0014901087408041602,0.06896551724137931,0.06699,0.031292382912152465,0.07177394983378664,0.06618,0.030323915534189227,0.07576214910956837,0.06626,0.02869580607677066,0.06820566631689402,0.06671,0.02997461615181941,0.06585475868290483,0.06651,0.03111812177192537,0.06894466283640761,0.06614,0.03291220498255867,0.07603406326034064,0.06576,0.02846543044857625,0.0651352576696388,0.06617,0.028453527475186244
15,0.07564676229053138,0.004113136054505352,0.05496375,0.0002449457848177841,0.023863812799594777,0.001272866451393154,0.0735930735930736,0.05544,0.024784693213813155,0.07875591124045107,0.05498,0.023482240534746034,0.0817255187477248,0.05494,0.02359857694363426,0.07443130118289354,0.05495,0.02338731278276527,0.07070156306797529,0.05502,0.02468209119452721,0.07293178519593614,0.05512,0.02629376946851672,0.0815018315018315,0.0546,0.021862499552358774,0.07153311379436517,0.05466,0.022819318706396818
20,0.0814438160702377,0.004999539747613819,0.0452425,0.00031728339067779726,0.018786378195727392,0.0016292719385855295,0.0757908611599297,0.04552,0.020178705595332955,0.08544373486016296,0.04541,0.018752705762920534,0.08737864077669903,0.04532,0.01832643870703195,0.08103907637655418,0.04504,0.01833912792757802,0.07661822985468957,0.04542,0.019234543147333874,0.0764847687924611,0.04563,0.021902978510857322,0.08946188340807175,0.0446,0.016105274519967103,0.07933333333333334,0.045,0.017451251394797376
25,0.08650570794592793,0.004903025854754761,0.0371425,0.00035304921753206097,0.014940079336020142,0.001457960684374641,0.08086253369272237,0.0371,0.01612192700988522,0.08905380333951762,0.03773,0.015360122135823483,0.09108108108108108,0.037,0.01495550396340858,0.0874493927125506,0.03705,0.014279654456781176,0.08278057840275935,0.03769,0.01527942860366714,0.0823878984332793,0.03702,0.017595462871768493,0.09579694323144104,0.03664,0.012860070593966398,0.08263343267407207,0.03691,0.013068465052860653
30,0.09224591996804998,0.004812732272685884,0.0304575,0.0004193968884004739,0.011606829463326186,0.0012554579841281826,0.08780006576783952,0.03041,0.01203284934094686,0.09583736689254599,0.03099,0.012263505238784129,0.09700756330154554,0.03041,0.011443896029211828,0.09310682783404116,0.03061,0.011394488982159402,0.08701256848211408,0.03103,0.01185537814497418,0.08644011877268229,0.03031,0.013953729291850415,0.10030395136778116,0.02961,0.010626533302394511,0.09045889732585012,0.03029,0.009284255376288155
35,0.10111261427241378,0.004444123952722243,0.02480375,0.0003407322078994002,0.00878505725022859,0.001031775720150703,0.09915696507426736,0.02491,0.00919262559379578,0.10597073942269672,0.02529,0.009278788200738075,0.10445344129554655,0.0247,0.008789327313041512,0.10128102481985589,0.02498,0.008512957953776214,0.10020120724346077,0.02485,0.008507664494123456,0.09491389667601122,0.02497,0.01075682976881991,0.1077819392426134,0.02403,0.008445230215705896,0.0951417004048583,0.0247,0.006797034461827873
40,0.10988620958080655,0.005910870794727995,0.0202,0.0003589219970968624,0.006530048138283123,0.001001640791844205,0.10990635781172992,0.02029,0.007086833802496885,0.11635832521908471,0.02054,0.006808692563227581,0.1147623862487361,0.01978,0.006735894629058324,0.10954235637779941,0.02054,0.006306822508818947,0.10653266331658291,0.0199,0.006066338482530577,0.10329776915615907,0.02062,0.008468809239701522,0.11824668705402651,0.01962,0.006070315039663329,0.10044313146233383,0.02031,0.004696678840767815
45,0.1199771339216372,0.005457975022876748,0.0165675,0.000339622952699019,0.004813569266528538,0.0009259265112843573,0.11647555823777912,0.01657,0.00513342576476673,0.12314098750743604,0.01681,0.00534501005565297,0.12584824182603332,0.01621,0.005083110460244063,0.11750599520383694,0.01668,0.004489300476418174,0.11907654921020656,0.01646,0.004060270976013459,0.1127906976744186,0.0172,0.006508949016777898,0.12991880074953155,0.01601,0.004763680789210912,0.11506024096385542,0.0166,0.003124806593144102
50,0.1303217564594501,0.006403452136875403,0.01358875,0.0004129902389887683,0.0034058262061437395,0.0009264134817463392,0.12281976744186046,0.01376,0.004061494234299509,0.13252148997134672,0.01396,0.0039213457066113195,0.13713405238828968,0.01298,0.003493927829198734,0.13053097345132744,0.01356,0.0027530223540416956,0.12941176470588237,0.0136,0.0021600942043150636,0.12297962052002812,0.01423,0.00504869927117079,0.14208494208494207,0.01295,0.003604672272636273,0.1250914411119239,0.01367,0.002203353776876532
55,0.14384676932579554,0.008690289480858395,0.01123625,0.00031256749271157415,0.00248094119538419,0.0007166225731929237,0.13620386643233742,0.01138,0.002685877261798139,0.14323144104803492,0.01145,0.0030027325652423682,0.15307057745187902,0.01091,0.0028332364013404967,0.14697926059513075,0.01109,0.0017564266051459316,0.1400709219858156,0.01128,0.001593245123828666,0.13069647463456577,0.01163,0.003810568539572474,0.15977443609022557,0.01064,0.0024515127896951885,0.14074717636837533,0.01151,0.0017139302764502561
60,0.1584728422565764,0.010406393657599792,0.009261249999999999,0.00027057519749600116,0.0018157443062474707,0.0005836102205077035,0.14570230607966456,0.00954,0.002220165956896565,0.15671641791044777,0.00938,0.0020550946810142996,0.17146017699115043,0.00904,0.0020045496260259897,0.16777041942604856,0.00906,0.0010999315801674034,0.15376344086021507,0.0093,0.0011366685545114836,0.14662447257383968,0.00948,0.002941915752194807,0.17391304347826086,0.00874,0.0017175954137330451,0.1518324607329843,0.00955,0.001350032885436173
65,0.17532572862373047,0.01099834440686223,0.00779,0.00023366642891095826,0.0011072697491954265,0.0005004923955758317,0.16604244694132334,0.00801,0.0013396433242173777,0.1751269035532995,0.00788,0.0014468434596256203,0.19205298013245034,0.00755,0.0010677738305323687,0.18311688311688312,0.0077,0.0004823812730895848,0.16493506493506493,0.0077,0.00048243471693053334,0.16104868913857678,0.00801,0.002063010481434268,0.1897018970189702,0.00738,0.0012228704882188467,0.17058096415327564,0.00809,0.0007532004195148126
70,0.19479531799019284,0.011220295736388093,0.006557499999999999,0.00022072324299900992,0.0007238535088008712,0.0004057265585942636,0.18777943368107303,0.00671,0.0008740686385894133,0.19208211143695014,0.00682,0.0009854302679755973,0.2081377151799687,0.00639,0.0006753699793426214,0.20552147239263804,0.00652,0.0001587127280629844,0.17851500789889416,0.00633,0.00026935957783268854,0.18061674008810572,0.00681,0.0014875141180205598,0.2084006462035541,0.00619,0.0009033043774784801,0.19730941704035873,0.00669,0.0004370683831046258
